------------------------------------------------------------
 Current - Vd = 0.05 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.1,       1.52259185e-14
       -0.0266666667,       2.06919698e-14
        0.0466666667,       4.12334307e-14
                0.12,       6.92233372e-14
         0.193333333,       1.16441998e-13
         0.266666667,       2.14392349e-13
                0.34,       3.94098977e-13
         0.413333333,       7.08186534e-13
         0.486666667,        1.2833529e-12
                0.56,       2.33541292e-12
         0.633333333,       4.25576513e-12
         0.706666667,       7.79337692e-12
                0.78,       1.42720764e-11
         0.853333333,       2.61660225e-11
         0.926666667,       4.80554657e-11
                   1,       8.83424694e-11

------------------------------------------------------------
 Current - Vd = 1.0 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.1,       3.77809352e-13
       -0.0266666667,       6.67020813e-13
        0.0466666667,       1.16140104e-12
                0.12,        2.0581615e-12
         0.193333333,       3.64627853e-12
         0.266666667,       6.45745784e-12
                0.34,       1.14659466e-11
         0.413333333,       2.04478811e-11
         0.486666667,       3.65059577e-11
                0.56,       6.53146092e-11
         0.633333333,       1.16854035e-10
         0.706666667,        2.0922571e-10
                0.78,       3.74779181e-10
         0.853333333,       6.71441066e-10
         0.926666667,       1.20288937e-09
                   1,       2.15457063e-09

