------------------------------------------------------------
 Current - Vg = 0.5 V
------------------------------------------------------------
Voltage (V), Current (A)
                   0,       1.15489379e-14
        0.0357142857,       3.64589715e-05
        0.0535714286,       4.37445175e-05
        0.0714285714,       5.33144977e-05
         0.142857143,       7.35714658e-05
         0.214285714,        8.1398842e-05
         0.232142857,       8.26206781e-05
                0.25,       8.34495759e-05
         0.285714286,       8.44475087e-05
         0.321428571,       8.51416466e-05
         0.357142857,       8.57119795e-05
         0.392857143,        8.6228751e-05
         0.428571429,        8.6701705e-05
         0.464285714,       8.71450163e-05
                 0.5,       8.75688491e-05
         0.535714286,       8.79785696e-05
         0.571428571,       8.83756075e-05
         0.607142857,       8.87612502e-05
         0.642857143,       8.91365998e-05
         0.714285714,       8.98604754e-05
                0.75,       9.02104129e-05
         0.785714286,       9.05530633e-05
         0.821428571,       9.08888675e-05
         0.857142857,       9.12182147e-05
         0.928571429,        9.1858892e-05
         0.964285714,       9.21708216e-05
                   1,       9.24775014e-05

------------------------------------------------------------
 Current - Vg = 0.75 V
------------------------------------------------------------
Voltage (V), Current (A)
                   0,       1.43918767e-14
        0.0178571429,       4.55978432e-05
        0.0267857143,       5.58837666e-05
        0.0357142857,       6.13194596e-05
        0.0535714286,       7.36217477e-05
              0.0625,       8.29402227e-05
        0.0714285714,       9.18047217e-05
         0.142857143,       0.000124592474
         0.214285714,       0.000157993994
         0.285714286,       0.000191110706
         0.357142857,       0.000214939938
         0.428571429,       0.000225337434
         0.446428571,       0.000226439868
         0.464285714,       0.000227321458
                 0.5,        0.00022872139
         0.571428571,       0.000230849526
         0.607142857,       0.000231735975
         0.642857143,       0.000232549261
         0.714285714,       0.000234044101
         0.785714286,       0.000235412356
         0.803571429,       0.000235738259
         0.821428571,        0.00023605862
         0.857142857,       0.000236684052
         0.892857143,       0.000237290741
         0.928571429,        0.00023788022
         0.964285714,       0.000238453732
                   1,       0.000239012346

------------------------------------------------------------
 Current - Vg = 1.0 V
------------------------------------------------------------
Voltage (V), Current (A)
                   0,        1.3053729e-14
       0.00446428571,       1.76736394e-05
       0.00892857143,       3.44696635e-05
        0.0178571429,       6.15948426e-05
        0.0267857143,       7.49003777e-05
        0.0357142857,       8.13437432e-05
        0.0446428571,       8.79914873e-05
        0.0535714286,       9.86407651e-05
        0.0714285714,       0.000121788122
        0.0803571429,       0.000131122421
        0.0892857143,       0.000138181276
        0.0915178571,       0.000139589336
             0.09375,       0.000140882928
        0.0959821429,        0.00014208522
        0.0982142857,       0.000143214914
         0.102678571,       0.000145335651
         0.104910714,       0.000146359745
         0.107142857,       0.000147376792
            0.109375,        0.00014839617
         0.111607143,       0.000149424928
         0.113839286,       0.000150468214
         0.116071429,       0.000151529676
         0.120535714,       0.000153716163
         0.122767857,       0.000154843631
               0.125,       0.000155994393
         0.126116071,       0.000156578177
         0.127232143,       0.000157174147
         0.128348214,       0.000157776021
         0.129464286,       0.000158382689
         0.130580357,        0.00015899473
         0.131696429,       0.000159612302
           0.1328125,       0.000160235449
         0.133928571,       0.000160864166
         0.136160714,       0.000162138176
            0.140625,       0.000164750957
         0.142857143,        0.00016608869
         0.214285714,       0.000216190625
         0.285714286,       0.000270086259
         0.357142857,       0.000319797394
         0.428571429,       0.000361153374
         0.464285714,       0.000377520546
                 0.5,       0.000390447446
         0.508928571,       0.000393094643
         0.513392857,       0.000394328097
         0.513950893,       0.000394478047
         0.514508929,       0.000394627058
         0.514787946,       0.000394701211
         0.515066964,       0.000394775129
         0.515345982,       0.000394848813
            0.515625,       0.000394922261
         0.516183036,       0.000395068454
         0.516741071,       0.000395213708
