------------------------------------------------------------
 Current - Vd = 0.05 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.1,       4.75935171e-10
       -0.0266666667,       3.39480924e-09
        0.0466666667,       2.41944322e-08
                0.12,       1.70538024e-07
         0.193333333,       1.14278378e-06
         0.266666667,       6.23108426e-06
                0.34,       1.81173193e-05
         0.413333333,       3.01765911e-05
         0.486666667,       4.04978221e-05
                0.56,         4.960315e-05
         0.633333333,       5.80085663e-05
         0.706666667,       6.59326789e-05
                0.78,       7.34356027e-05
         0.853333333,       8.06019117e-05
         0.926666667,       8.73688131e-05
                   1,       9.38487784e-05

------------------------------------------------------------
 Current - Vd = 1.0 V
------------------------------------------------------------
Voltage (V), Current (A)
              -0.025,       9.12125843e-09
               -0.05,       4.68661683e-09
                -0.1,       1.23774097e-09
       -0.0266666667,       8.72520273e-09
        0.0466666667,       6.13780863e-08
                0.12,       4.24185475e-07
         0.193333333,       2.71425638e-06
         0.266666667,       1.33774464e-05
                0.34,       3.89127595e-05
         0.413333333,       5.90690034e-05
         0.486666667,       8.64839858e-05
                0.56,       0.000122345608
         0.633333333,        0.00016410503
         0.706666667,       0.000210184751
                0.78,       0.000259559119
         0.853333333,       0.000311534186
         0.926666667,       0.000365501026
                   1,       0.000421076815

